Product ID,Product Name,Brand,Category,Description,Price,Rating,Image Path
P001,iPhone 15 Pro,Apple,Electronics,"Flagship titanium smartphone with advanced camera system, high refresh rate OLED display, and high-performance A17 Pro chip.",100500,4.6,static/images/products/electronics_cat.jpg
P002,Galaxy S24 Ultra,Samsung,Electronics,"Premium Android smartphone with integrated S-Pen stylus, 200MP quad camera, AI translation features, and bright AMOLED screen.",95800,3.8,static/images/products/electronics_cat.jpg
P003,WH-1000XM5 Headphones,Sony,Electronics,"Industry-leading active noise-canceling wireless headphones with 30-hour battery life, smart listening, and high-fidelity sound.",45200,4.7,static/images/products/electronics_cat.jpg
P004,QuietComfort Ultra,Bose,Electronics,"Over-ear noise-canceling headphones with spatial audio, customtune calibration, and ultra-comfortable ear cushions.",62400,4.6,static/images/products/electronics_cat.jpg
P005,XPS 15 Laptop,Dell,Electronics,"High-performance laptop featuring InfinityEdge display, NVIDIA GeForce RTX graphics, and premium CNC aluminum design.",123300,4.0,static/images/products/electronics_cat.jpg
P006,MacBook Air M3,Apple,Electronics,"Thinnest and lightest laptop with powerful M3 processor, liquid retina display, silent fanless design, and all-day battery life.",119500,3.9,static/images/products/electronics_cat.jpg
P007,MX Master 3S Mouse,Logitech,Electronics,"Ergonomic wireless mouse with ultra-fast scrolling, 8K DPI tracking, silent clicks, and customizable macro buttons.",98100,4.3,static/images/products/electronics_cat.jpg
P008,Charge 5 Speaker,JBL,Electronics,"Portable waterproof Bluetooth speaker with deep bass, powerbank function, and up to 20 hours of playtime.",12300,4.6,static/images/products/electronics_cat.jpg
P009,Quest 3 VR Headset,Meta,Electronics,"Mixed reality virtual reality headset with dual display resolution, slim profile, and full-color passthrough capabilities.",97000,4.0,static/images/products/electronics_cat.jpg
P010,4K Ultra Short Throw Projector,Sony,Electronics,"Premium home theater laser projector with 4K resolution, HDR support, and ultra-short throw screen scaling.",49400,4.3,static/images/products/electronics_cat.jpg
P011,Pro Mechanical Keyboard,Logitech,Electronics,Tenkeyless mechanical gaming keyboard with customizable RGB backlighting and tactile brown switches.,100700,3.9,static/images/products/electronics_cat.jpg
P012,Smart Watch Series 9,Apple,Electronics,"Smartwatch with carbon neutral case, double tap gesture control, blood oxygen tracking, and ECG heart rate monitoring.",78900,4.4,static/images/products/electronics_cat.jpg
P013,Noise-Canceling Earbuds,Sony,Electronics,"Truly wireless noise-canceling earbuds with high-resolution audio, crystal-clear call quality, and IPX4 water resistance.",79600,4.6,static/images/products/electronics_cat.jpg
